,Cgate Voltage,Cgate Int.Voltage,Cgate Current,Fgate Intg Charge,Fgate Int.Voltage,Fgate Current,Source Voltage,Source Intg.Voltage,Source Current,Drain Voltage,Drain Intg Voltage,Drain Current,Substrate Voltage,Substrate Intg Voltage,Substrate Curerent
34,1.65,1.65,0.0,0.0,0.9665366013,3.2954088350000003e-19,0.0,0.0,-8.788344304e-07,1.0,1.0,8.844032879e-07,0.0,0.0,-5.568292585e-09
35,1.7,1.7,0.0,0.0,0.9964218771,6.151265397e-19,0.0,0.0,-9.105239093e-07,1.0,1.0,9.160239216e-07,0.0,0.0,-5.499492734e-09
36,1.75,1.75,0.0,0.0,1.025944143,1.098830633e-18,0.0,0.0,-9.415366976e-07,1.0,1.0,9.469766207e-07,0.0,0.0,-5.439441318e-09
37,1.8,1.8,0.0,0.0,1.055101556,1.884755089e-18,0.0,0.0,-9.717883708e-07,1.0,1.0,9.771782643e-07,0.0,0.0,-5.389446547e-09
38,1.85,1.85,0.0,0.0,1.083907715,3.114193938e-18,0.0,0.0,-1.00095116e-06,1.0,1.0,1.006300367e-06,0.0,0.0,-5.348792846e-09
39,1.9,1.9,0.0,0.0,1.112370358,4.97200053e-18,0.0,0.0,-1.029152289e-06,1.0,1.0,1.034472007e-06,0.0,0.0,-5.319333905e-09
40,1.95,1.95,0.0,0.0,1.140503385,7.692367521e-18,0.0,0.0,-1.056456348e-06,1.0,1.0,1.061758635e-06,0.0,0.0,-5.301929999e-09
41,2.0,2.0,0.0,0.0,1.168326461,1.1563487789999999e-17,0.0,0.0,-1.082825106e-06,1.0,1.0,1.088122221e-06,0.0,0.0,-5.296783453e-09
42,2.05,2.05,0.0,0.0,1.195859009,1.693117161e-17,0.0,0.0,-1.1082773e-06,1.0,1.0,1.113581556e-06,0.0,0.0,-5.303947507e-09
43,2.1,2.1,0.0,0.0,1.223119325,2.420011088e-17,0.0,0.0,-1.132883756e-06,1.0,1.0,1.138207507e-06,0.0,0.0,-5.323473474e-09
44,2.15,2.15,0.0,0.0,1.250126295,3.383471692e-17,0.0,0.0,-1.156680421e-06,1.0,1.0,1.162035855e-06,0.0,0.0,-5.355168496e-09
45,2.2,2.2,0.0,0.0,1.276897921,4.635818364e-17,0.0,0.0,-1.179705203e-06,1.0,1.0,1.185104224e-06,0.0,0.0,-5.398774084e-09
46,2.25,2.25,0.0,0.0,1.303451052,6.235068641e-17,0.0,0.0,-1.201998236e-06,1.0,1.0,1.207452446e-06,0.0,0.0,-5.453979786e-09
47,2.3,2.3,0.0,0.0,1.329801318,8.244708033e-17,0.0,0.0,-1.223599763e-06,1.0,1.0,1.229120414e-06,0.0,0.0,-5.520435248e-09
48,2.35,2.35,0.0,0.0,1.355963149,1.0733465949999999e-16,0.0,0.0,-1.244548421e-06,1.0,1.0,1.250146377e-06,0.0,0.0,-5.597756107e-09
49,2.4,2.4,0.0,0.0,1.38194981,1.3775154999999999e-16,0.0,0.0,-1.264881234e-06,1.0,1.0,1.270566969e-06,0.0,0.0,-5.685548466e-09
