"Cgate Voltage","Cgate Int. Voltage","Cgate Current","Fgate Intg Charge","Fgate Int. Voltage","Fgate Current","Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-6.7631420090e-16,-7.1511067110e+00,-2.9774071370e-16,0.0000000000e+00,0.0000000000e+00,7.8618434690e-17,1.0000000000e+00,1.0000000000e+00,2.2611138760e-16,0.0000000000e+00,0.0000000000e+00,-2.7682465070e-17
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-6.7631420090e-16,-7.1511065810e+00,-2.9774051730e-16,0.0000000000e+00,0.0000000000e+00,9.9267646750e-17,1.0000000000e+00,1.0000000000e+00,2.3267771200e-16,0.0000000000e+00,0.0000000000e+00,-3.4188231490e-17
5.0000000000e-02,5.0000000000e-02,0.0000000000e+00,-6.7631420090e-16,-7.1290209400e+00,-2.6608171670e-16,0.0000000000e+00,0.0000000000e+00,8.7945616110e-17,1.0000000000e+00,1.0000000000e+00,1.9878132990e-16,0.0000000000e+00,0.0000000000e+00,-2.0633750680e-17
1.0000000000e-01,1.0000000000e-01,0.0000000000e+00,-6.7631420090e-16,-7.1069345180e+00,-2.3759924540e-16,0.0000000000e+00,0.0000000000e+00,7.8833920400e-17,1.0000000000e+00,1.0000000000e+00,1.8890185720e-16,0.0000000000e+00,0.0000000000e+00,-3.0119881510e-17
1.5000000000e-01,1.5000000000e-01,0.0000000000e+00,-6.7631420090e-16,-7.0848473080e+00,-2.1199430780e-16,0.0000000000e+00,0.0000000000e+00,7.0115766350e-17,1.0000000000e+00,1.0000000000e+00,1.7023941430e-16,0.0000000000e+00,0.0000000000e+00,-2.8345189560e-17
2.0000000000e-01,2.0000000000e-01,0.0000000000e+00,-6.7631420090e-16,-7.0627593040e+00,-1.8899425330e-16,0.0000000000e+00,0.0000000000e+00,6.2280435940e-17,1.0000000000e+00,1.0000000000e+00,1.5347752630e-16,0.0000000000e+00,0.0000000000e+00,-2.6754989030e-17
2.5000000000e-01,2.5000000000e-01,0.0000000000e+00,-6.7631420090e-16,-7.0406705000e+00,-1.6835046970e-16,0.0000000000e+00,0.0000000000e+00,5.5257853410e-17,1.0000000000e+00,1.0000000000e+00,1.3843205890e-16,0.0000000000e+00,0.0000000000e+00,-2.5322024500e-17
3.0000000000e-01,3.0000000000e-01,0.0000000000e+00,-6.7631420090e-16,-7.0185808890e+00,-1.4983643130e-16,0.0000000000e+00,0.0000000000e+00,4.8958050920e-17,1.0000000000e+00,1.0000000000e+00,1.2493789280e-16,0.0000000000e+00,0.0000000000e+00,-2.4045293910e-17
3.5000000000e-01,3.5000000000e-01,0.0000000000e+00,-6.7631420090e-16,-6.9964904640e+00,-1.3324589090e-16,0.0000000000e+00,0.0000000000e+00,4.3307225590e-17,1.0000000000e+00,1.0000000000e+00,1.1284594710e-16,0.0000000000e+00,0.0000000000e+00,-2.2901269120e-17
4.0000000000e-01,4.0000000000e-01,0.0000000000e+00,-6.7631420090e-16,-6.9743992190e+00,-1.1839120600e-16,0.0000000000e+00,0.0000000000e+00,3.8252956010e-17,1.0000000000e+00,1.0000000000e+00,1.0202294000e-16,0.0000000000e+00,0.0000000000e+00,-2.1878042800e-17
4.5000000000e-01,4.5000000000e-01,0.0000000000e+00,-6.7631420090e-16,-6.9523071470e+00,-1.0510179130e-16,0.0000000000e+00,0.0000000000e+00,3.3736165890e-17,1.0000000000e+00,1.0000000000e+00,9.2335300330e-17,0.0000000000e+00,0.0000000000e+00,-2.0963893470e-17
5.0000000000e-01,5.0000000000e-01,0.0000000000e+00,-6.7631420090e-16,-6.9302142420e+00,-9.3222687940e-17,0.0000000000e+00,0.0000000000e+00,2.9695398380e-17,1.0000000000e+00,1.0000000000e+00,8.3682556690e-17,0.0000000000e+00,0.0000000000e+00,-2.0144483940e-17
5.5000000000e-01,5.5000000000e-01,0.0000000000e+00,-6.7631420090e-16,-6.9081204960e+00,-8.2613241760e-17,0.0000000000e+00,0.0000000000e+00,2.6084879880e-17,1.0000000000e+00,1.0000000000e+00,7.5952516870e-17,0.0000000000e+00,0.0000000000e+00,-1.9417209350e-17
6.0000000000e-01,6.0000000000e-01,0.0000000000e+00,-6.7631420090e-16,-6.8860259030e+00,-7.3145884110e-17,0.0000000000e+00,0.0000000000e+00,2.2866650040e-17,1.0000000000e+00,1.0000000000e+00,6.9055157120e-17,0.0000000000e+00,0.0000000000e+00,-1.8770438510e-17
6.5000000000e-01,6.5000000000e-01,0.0000000000e+00,-6.7631420090e-16,-6.8639304550e+00,-6.4705006860e-17,0.0000000000e+00,0.0000000000e+00,1.9988035930e-17,1.0000000000e+00,1.0000000000e+00,6.2908993680e-17,0.0000000000e+00,0.0000000000e+00,-1.8192088350e-17
7.0000000000e-01,7.0000000000e-01,0.0000000000e+00,-6.7631420090e-16,-6.8418341450e+00,-5.7185925900e-17,0.0000000000e+00,0.0000000000e+00,1.7424260270e-17,1.0000000000e+00,1.0000000000e+00,5.7432745540e-17,0.0000000000e+00,0.0000000000e+00,-1.7666057860e-17
7.5000000000e-01,7.5000000000e-01,0.0000000000e+00,-6.7631420090e-16,-6.8197369660e+00,-5.0493926510e-17,0.0000000000e+00,0.0000000000e+00,1.5146124640e-17,1.0000000000e+00,1.0000000000e+00,5.2561631150e-17,0.0000000000e+00,0.0000000000e+00,-1.7208680670e-17
8.0000000000e-01,8.0000000000e-01,0.0000000000e+00,-6.7631420090e-16,-6.7976389110e+00,-4.4543385020e-17,0.0000000000e+00,0.0000000000e+00,1.3123460060e-17,1.0000000000e+00,1.0000000000e+00,4.8230079780e-17,0.0000000000e+00,0.0000000000e+00,-1.6805159120e-17
8.5000000000e-01,8.5000000000e-01,0.0000000000e+00,-6.7631420090e-16,-6.7755399700e+00,-3.9256961090e-17,0.0000000000e+00,0.0000000000e+00,1.1322018250e-17,1.0000000000e+00,1.0000000000e+00,4.4385471510e-17,0.0000000000e+00,0.0000000000e+00,-1.6445511410e-17
9.0000000000e-01,9.0000000000e-01,0.0000000000e+00,-6.7631420090e-16,-6.7534401370e+00,-3.4564855680e-17,0.0000000000e+00,0.0000000000e+00,9.7175921710e-18,1.0000000000e+00,1.0000000000e+00,4.0972046910e-17,0.0000000000e+00,0.0000000000e+00,-1.6122520370e-17
9.5000000000e-01,9.5000000000e-01,0.0000000000e+00,-6.7631420090e-16,-6.7313394040e+00,-3.0404129840e-17,0.0000000000e+00,0.0000000000e+00,8.2999875960e-18,1.0000000000e+00,1.0000000000e+00,3.7946017190e-17,0.0000000000e+00,0.0000000000e+00,-1.5839340600e-17
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.7092377620e+00,-2.6718079770e-17,0.0000000000e+00,0.0000000000e+00,7.0484419540e-18,1.0000000000e+00,1.0000000000e+00,3.5267630630e-17,0.0000000000e+00,0.0000000000e+00,-1.5603331280e-17
1.0500000000e+00,1.0500000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.6871352030e+00,-2.3455664120e-17,0.0000000000e+00,0.0000000000e+00,5.9329556280e-18,1.0000000000e+00,1.0000000000e+00,3.2899271490e-17,0.0000000000e+00,0.0000000000e+00,-1.5372063940e-17
1.1000000000e+00,1.1000000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.6650317180e+00,-2.0570979370e-17,0.0000000000e+00,0.0000000000e+00,4.9481942260e-18,1.0000000000e+00,1.0000000000e+00,3.0806129880e-17,0.0000000000e+00,0.0000000000e+00,-1.5180642260e-17
1.1500000000e+00,1.1500000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.6429272990e+00,-1.8022779950e-17,0.0000000000e+00,0.0000000000e+00,4.0800660110e-18,1.0000000000e+00,1.0000000000e+00,2.8953212710e-17,0.0000000000e+00,0.0000000000e+00,-1.5007624820e-17
1.2000000000e+00,1.2000000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.6208219350e+00,-1.5774039310e-17,0.0000000000e+00,0.0000000000e+00,3.2976880760e-18,1.0000000000e+00,1.0000000000e+00,2.7322128530e-17,0.0000000000e+00,0.0000000000e+00,-1.4846010990e-17
1.2500000000e+00,1.2500000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.5987156180e+00,-1.3791549130e-17,0.0000000000e+00,0.0000000000e+00,2.6224256740e-18,1.0000000000e+00,1.0000000000e+00,2.5886254730e-17,0.0000000000e+00,0.0000000000e+00,-1.4718773090e-17
1.3000000000e+00,1.3000000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.5766083380e+00,-1.2045553350e-17,0.0000000000e+00,0.0000000000e+00,2.0258471980e-18,1.0000000000e+00,1.0000000000e+00,2.4625685750e-17,0.0000000000e+00,0.0000000000e+00,-1.4606832020e-17
1.3500000000e+00,1.3500000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.5545000860e+00,-1.0509414570e-17,0.0000000000e+00,0.0000000000e+00,1.4997165970e-18,1.0000000000e+00,1.0000000000e+00,2.3516958220e-17,0.0000000000e+00,0.0000000000e+00,-1.4503935750e-17
1.4000000000e+00,1.4000000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.5323908500e+00,-9.1593099910e-18,0.0000000000e+00,0.0000000000e+00,1.0377663690e-18,1.0000000000e+00,1.0000000000e+00,2.2542582620e-17,0.0000000000e+00,0.0000000000e+00,-1.4418239080e-17
1.4500000000e+00,1.4500000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.5102806220e+00,-7.9739547260e-18,0.0000000000e+00,0.0000000000e+00,6.3018885120e-19,1.0000000000e+00,1.0000000000e+00,2.1692893890e-17,0.0000000000e+00,0.0000000000e+00,-1.4342367700e-17
1.5000000000e+00,1.5000000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.4881693890e+00,-6.9343500770e-18,0.0000000000e+00,0.0000000000e+00,2.6938476980e-19,1.0000000000e+00,1.0000000000e+00,2.0946224790e-17,0.0000000000e+00,0.0000000000e+00,-1.4283854540e-17
1.5500000000e+00,1.5500000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.4660571420e+00,-6.0235548570e-18,0.0000000000e+00,0.0000000000e+00,-4.7071857820e-20,1.0000000000e+00,1.0000000000e+00,2.0293920010e-17,0.0000000000e+00,0.0000000000e+00,-1.4221599740e-17
1.6000000000e+00,1.6000000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.4439438690e+00,-5.2264777750e-18,0.0000000000e+00,0.0000000000e+00,-3.2145619950e-19,1.0000000000e+00,1.0000000000e+00,1.9723676520e-17,0.0000000000e+00,0.0000000000e+00,-1.4175302940e-17
1.6500000000e+00,1.6500000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.4218295580e+00,-4.5296891490e-18,0.0000000000e+00,0.0000000000e+00,-5.6422802530e-19,1.0000000000e+00,1.0000000000e+00,1.9229890370e-17,0.0000000000e+00,0.0000000000e+00,-1.4134544600e-17
1.7000000000e+00,1.7000000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.3997141980e+00,-3.9212502970e-18,0.0000000000e+00,0.0000000000e+00,-7.7064273730e-19,1.0000000000e+00,1.0000000000e+00,1.8798967580e-17,0.0000000000e+00,0.0000000000e+00,-1.4101087680e-17
1.7500000000e+00,1.7500000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.3775977770e+00,-3.3905591060e-18,0.0000000000e+00,0.0000000000e+00,-9.5909932840e-19,1.0000000000e+00,1.0000000000e+00,1.8290736700e-17,0.0000000000e+00,0.0000000000e+00,-1.3939012710e-17
1.8000000000e+00,1.8000000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.3554802820e+00,-2.9282103720e-18,0.0000000000e+00,0.0000000000e+00,-1.1246888420e-18,1.0000000000e+00,1.0000000000e+00,1.8099561530e-17,0.0000000000e+00,0.0000000000e+00,-1.4048205040e-17
1.8500000000e+00,1.8500000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.3333617020e+00,-2.5258696310e-18,0.0000000000e+00,0.0000000000e+00,-1.2665221520e-18,1.0000000000e+00,1.0000000000e+00,1.7820156800e-17,0.0000000000e+00,0.0000000000e+00,-1.4031578510e-17
1.9000000000e+00,1.9000000000e+00,0.0000000000e+00,-6.7631420090e-16,-6.3112420240e+00,-2.1761592860e-18,0.0000000000e+00,0.0000000000e+00,-1.3943404170e-18,1.0000000000e+00,1.0000000000e+00,1.7579096270e-17,0.0000000000e+00,0.0000000000e+00,-1.4008473900e-17
