"Transient time","Cgate Voltage","Cgate Int. Voltage","Cgate Current","Fgate Intg Charge","Fgate Int. Voltage","Fgate Current","Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
1.0000000000e-10,1.5000000000e+01,1.5000000000e+01,-2.3587851360e-08,-4.0357783920e-25,6.6330868390e+00,-1.3353317270e-16,0.0000000000e+00,0.0000000000e+00,-8.0628158360e-07,1.0000000000e-01,1.0000000000e-01,8.5939276030e-07,0.0000000000e+00,0.0000000000e+00,-2.9523325670e-08
3.0000000000e-10,1.5000000000e+01,1.5000000000e+01,-2.5510314560e-08,-1.0841857130e-24,6.7322445810e+00,-1.3943054210e-16,0.0000000000e+00,0.0000000000e+00,-1.4654048100e-06,3.0000000000e-01,3.0000000000e-01,1.5207198490e-06,0.0000000000e+00,0.0000000000e+00,-2.9804666160e-08
4.7838613197e-10,1.5000000000e+01,1.5000000000e+01,-2.5766816760e-08,-1.5148430070e-24,6.8240227170e+00,4.4379192980e-17,0.0000000000e+00,0.0000000000e+00,-1.9814448510e-06,4.7838613200e-01,4.7838613200e-01,2.0416353520e-06,0.0000000000e+00,0.0000000000e+00,-3.4423308860e-08
6.9244949034e-10,1.5000000000e+01,1.5000000000e+01,-2.5955030580e-08,-2.1213695250e-24,6.9355785210e+00,7.3112793550e-15,0.0000000000e+00,0.0000000000e+00,-2.5771360410e-06,6.9244949030e-01,6.9244949030e-01,2.6497601830e-06,0.0000000000e+00,0.0000000000e+00,-4.6666763120e-08
9.7274670160e-10,1.5000000000e+01,1.5000000000e+01,-2.5085696830e-08,-1.4817766180e-23,7.0799311190e+00,2.2140152280e-13,0.0000000000e+00,0.0000000000e+00,-3.3038637990e-06,9.7274670160e-01,9.7274670160e-01,3.4030911300e-06,0.0000000000e+00,0.0000000000e+00,-7.4132763280e-08
9.8637335080e-10,1.5000000000e+01,1.5000000000e+01,-2.5083584140e-08,-1.9719468970e-23,7.0868313390e+00,1.0582852170e-14,0.0000000000e+00,0.0000000000e+00,-3.3382194110e-06,9.8637335080e-01,9.8637335080e-01,3.4392259180e-06,0.0000000000e+00,0.0000000000e+00,-7.5912835790e-08
1.0000000000e-09,1.5000000000e+01,1.5000000000e+01,-2.5029900560e-08,-2.5388950720e-23,7.0937211300e+00,1.1955061780e-14,0.0000000000e+00,0.0000000000e+00,-3.3724604940e-06,1.0000000000e+00,1.0000000000e+00,3.4752111750e-06,0.0000000000e+00,0.0000000000e+00,-7.7709994690e-08
1.0190773089e-09,1.5000000000e+01,1.5000000000e+01,2.3523174470e-09,-3.4276950960e-23,7.0941079700e+00,-4.3066165150e-15,0.0000000000e+00,0.0000000000e+00,-3.3545883270e-06,1.0000000000e+00,1.0000000000e+00,3.4002529020e-06,0.0000000000e+00,0.0000000000e+00,-4.8005943240e-08
1.0572319266e-09,1.5000000000e+01,1.5000000000e+01,-2.4506730050e-10,-5.2103961190e-23,7.0940459170e+00,8.3621375970e-16,0.0000000000e+00,0.0000000000e+00,-3.3556986610e-06,1.0000000000e+00,1.0000000000e+00,3.4095650350e-06,0.0000000000e+00,0.0000000000e+00,-5.3610395400e-08
1.1335411621e-09,1.5000000000e+01,1.5000000000e+01,1.7686644070e-11,-8.7744439820e-23,7.0940529180e+00,-1.1430835670e-16,0.0000000000e+00,0.0000000000e+00,-3.3556278670e-06,1.0000000000e+00,1.0000000000e+00,3.4082991470e-06,0.0000000000e+00,0.0000000000e+00,-5.2677978210e-08
1.2861596332e-09,1.5000000000e+01,1.5000000000e+01,-3.3022714380e-13,-1.5902818770e-22,7.0940516200e+00,1.0406048640e-17,0.0000000000e+00,0.0000000000e+00,-3.3556286970e-06,1.0000000000e+00,1.0000000000e+00,3.4084178180e-06,0.0000000000e+00,0.0000000000e+00,-5.2777871910e-08
1.5913965752e-09,1.5000000000e+01,1.5000000000e+01,4.8161897900e-13,-3.0159526720e-22,7.0940502650e+00,-6.6657946650e-19,0.0000000000e+00,0.0000000000e+00,-3.3556287790e-06,1.0000000000e+00,1.0000000000e+00,3.4084109360e-06,0.0000000000e+00,0.0000000000e+00,-5.2771730300e-08
2.2018704593e-09,1.5000000000e+01,1.5000000000e+01,4.5676182670e-13,-5.8672947350e-22,7.0940474900e+00,-4.7031615140e-20,0.0000000000e+00,0.0000000000e+00,-3.3556286240e-06,1.0000000000e+00,1.0000000000e+00,3.4084110020e-06,0.0000000000e+00,0.0000000000e+00,-5.2771927110e-08
3.4228182274e-09,1.5000000000e+01,1.5000000000e+01,4.5624745040e-13,-1.1569979070e-21,7.0940419420e+00,-5.7594450550e-20,0.0000000000e+00,0.0000000000e+00,-3.3556283290e-06,1.0000000000e+00,1.0000000000e+00,3.4084106900e-06,0.0000000000e+00,0.0000000000e+00,-5.2771909450e-08
5.8647137637e-09,1.5000000000e+01,1.5000000000e+01,4.5578897940e-13,-2.2975348660e-21,7.0940308460e+00,-3.7941796460e-20,0.0000000000e+00,0.0000000000e+00,-3.3556277290e-06,1.0000000000e+00,1.0000000000e+00,3.4084100620e-06,0.0000000000e+00,0.0000000000e+00,-5.2771880330e-08
1.0000000000e-08,1.5000000000e+01,1.5000000000e+01,4.5560189070e-13,-4.2290046880e-21,7.0940120560e+00,-1.0618836500e-20,0.0000000000e+00,0.0000000000e+00,-3.3556267190e-06,1.0000000000e+00,1.0000000000e+00,3.4084090020e-06,0.0000000000e+00,0.0000000000e+00,-5.2771830690e-08
1.8270572473e-08,1.5000000000e+01,1.5000000000e+01,4.5546650010e-13,-8.0919453980e-21,7.0939744750e+00,5.6707763420e-20,0.0000000000e+00,0.0000000000e+00,-3.3556246970e-06,1.0000000000e+00,1.0000000000e+00,3.4084068810e-06,0.0000000000e+00,0.0000000000e+00,-5.2771731280e-08
3.4811717418e-08,1.5000000000e+01,1.5000000000e+01,4.5539894950e-13,-1.5817831090e-20,7.0938993130e+00,1.9146912930e-19,0.0000000000e+00,0.0000000000e+00,-3.3556206550e-06,1.0000000000e+00,1.0000000000e+00,3.4084026390e-06,0.0000000000e+00,0.0000000000e+00,-5.2771532340e-08
6.7894007308e-08,1.5000000000e+01,1.5000000000e+01,4.5536558610e-13,-3.1269619550e-20,7.0937489890e+00,4.6120499530e-19,0.0000000000e+00,0.0000000000e+00,-3.3556125690e-06,1.0000000000e+00,1.0000000000e+00,3.4083941550e-06,0.0000000000e+00,0.0000000000e+00,-5.2771134400e-08
1.0000000000e-07,1.5000000000e+01,1.5000000000e+01,4.5536760180e-13,-4.6265437060e-20,7.0936031010e+00,4.4534354320e-19,0.0000000000e+00,0.0000000000e+00,-3.3556047210e-06,1.0000000000e+00,1.0000000000e+00,3.4083859210e-06,0.0000000000e+00,0.0000000000e+00,-5.2770748170e-08
1.6421198538e-07,1.5000000000e+01,1.5000000000e+01,4.5535124750e-13,-7.6257136450e-20,7.0933113240e+00,9.6925661410e-19,0.0000000000e+00,0.0000000000e+00,-3.3555890260e-06,1.0000000000e+00,1.0000000000e+00,3.4083694530e-06,0.0000000000e+00,0.0000000000e+00,-5.2769975690e-08
2.9263595615e-07,1.5000000000e+01,1.5000000000e+01,4.5534483450e-13,-1.3624079280e-19,7.0927277670e+00,2.0178502830e-18,0.0000000000e+00,0.0000000000e+00,-3.3555576330e-06,1.0000000000e+00,1.0000000000e+00,3.4083365130e-06,0.0000000000e+00,0.0000000000e+00,-5.2768430620e-08
5.4948389769e-07,1.5000000000e+01,1.5000000000e+01,4.5534516490e-13,-2.5620913600e-19,7.0915606430e+00,4.1180694100e-18,0.0000000000e+00,0.0000000000e+00,-3.3554948390e-06,1.0000000000e+00,1.0000000000e+00,3.4082706260e-06,0.0000000000e+00,0.0000000000e+00,-5.2765340050e-08
1.0000000000e-06,1.5000000000e+01,1.5000000000e+01,4.5535227900e-13,-4.6663938040e-19,7.0895134470e+00,7.2946780830e-18,0.0000000000e+00,0.0000000000e+00,-3.3553846690e-06,1.0000000000e+00,1.0000000000e+00,3.4081550300e-06,0.0000000000e+00,0.0000000000e+00,-5.2759917760e-08
1.4505161023e-06,1.5000000000e+01,1.5000000000e+01,4.5536573320e-13,-6.7707529380e-19,7.0874661900e+00,7.3082909150e-18,0.0000000000e+00,0.0000000000e+00,-3.3552744640e-06,1.0000000000e+00,1.0000000000e+00,3.4080393970e-06,0.0000000000e+00,0.0000000000e+00,-5.2754493710e-08
2.3515483069e-06,1.5000000000e+01,1.5000000000e+01,4.5538109260e-13,-1.0979598600e-18,7.0833715390e+00,1.4740670020e-17,0.0000000000e+00,0.0000000000e+00,-3.3550539500e-06,1.0000000000e+00,1.0000000000e+00,3.4078080210e-06,0.0000000000e+00,0.0000000000e+00,-5.2743640400e-08
4.1536127161e-06,1.5000000000e+01,1.5000000000e+01,4.5541378620e-13,-1.9397801040e-18,7.0751816800e+00,2.9729137400e-17,0.0000000000e+00,0.0000000000e+00,-3.3546125030e-06,1.0000000000e+00,1.0000000000e+00,3.4073448290e-06,0.0000000000e+00,0.0000000000e+00,-5.2721912950e-08
5.9556771254e-06,1.5000000000e+01,1.5000000000e+01,4.5546846870e-13,-2.7816919700e-18,7.0669908470e+00,2.9869715660e-17,0.0000000000e+00,0.0000000000e+00,-3.3541704670e-06,1.0000000000e+00,1.0000000000e+00,3.4068808640e-06,0.0000000000e+00,0.0000000000e+00,-5.2700155880e-08
6.7875372493e-06,1.5000000000e+01,1.5000000000e+01,4.5551770540e-13,-3.1703709430e-18,7.0632094270e+00,1.3744938620e-17,0.0000000000e+00,0.0000000000e+00,-3.3539662450e-06,1.0000000000e+00,1.0000000000e+00,3.4066667380e-06,0.0000000000e+00,0.0000000000e+00,-5.2690104370e-08
6.9727225579e-06,1.5000000000e+01,1.5000000000e+01,4.5554216530e-13,-3.2569010450e-18,7.0623675800e+00,3.0147749460e-18,0.0000000000e+00,0.0000000000e+00,-3.3539207610e-06,1.0000000000e+00,1.0000000000e+00,3.4066190130e-06,0.0000000000e+00,0.0000000000e+00,-5.2687865600e-08
7.1949449283e-06,1.5000000000e+01,1.5000000000e+01,4.5554706100e-13,-3.3607383690e-18,7.0613573520e+00,3.6356231350e-18,0.0000000000e+00,0.0000000000e+00,-3.3538661740e-06,1.0000000000e+00,1.0000000000e+00,3.4065617360e-06,0.0000000000e+00,0.0000000000e+00,-5.2685178720e-08
7.4026142136e-06,1.5000000000e+01,1.5000000000e+01,4.5555408450e-13,-3.4577768140e-18,7.0604132690e+00,3.3943588110e-18,0.0000000000e+00,0.0000000000e+00,-3.3538151500e-06,1.0000000000e+00,1.0000000000e+00,3.4065082000e-06,0.0000000000e+00,0.0000000000e+00,-5.2682667370e-08
7.5357842307e-06,1.5000000000e+01,1.5000000000e+01,4.5556292520e-13,-3.5200044470e-18,7.0598078580e+00,2.1491856130e-18,0.0000000000e+00,0.0000000000e+00,-3.3537824270e-06,1.0000000000e+00,1.0000000000e+00,3.4064738660e-06,0.0000000000e+00,0.0000000000e+00,-5.2681056740e-08
7.7754902616e-06,1.5000000000e+01,1.5000000000e+01,4.5556398210e-13,-3.6320151870e-18,7.0587181080e+00,3.9335691780e-18,0.0000000000e+00,0.0000000000e+00,-3.3537235190e-06,1.0000000000e+00,1.0000000000e+00,3.4064120560e-06,0.0000000000e+00,0.0000000000e+00,-5.2678157240e-08
8.2549023232e-06,1.5000000000e+01,1.5000000000e+01,4.5557062210e-13,-3.8560403500e-18,7.0565385670e+00,7.9538885730e-18,0.0000000000e+00,0.0000000000e+00,-3.3536056730e-06,1.0000000000e+00,1.0000000000e+00,3.4062884040e-06,0.0000000000e+00,0.0000000000e+00,-5.2672356730e-08
8.7343143849e-06,1.5000000000e+01,1.5000000000e+01,4.5558526490e-13,-4.0800720850e-18,7.0543589570e+00,7.9628105040e-18,0.0000000000e+00,0.0000000000e+00,-3.3534877860e-06,1.0000000000e+00,1.0000000000e+00,3.4061647100e-06,0.0000000000e+00,0.0000000000e+00,-5.2666554220e-08
9.3096088589e-06,1.5000000000e+01,1.5000000000e+01,4.5560020990e-13,-4.3489182550e-18,7.0517433390e+00,9.5827986540e-18,0.0000000000e+00,0.0000000000e+00,-3.3533462680e-06,1.0000000000e+00,1.0000000000e+00,3.4060162210e-06,0.0000000000e+00,0.0000000000e+00,-5.2659588520e-08
9.6548044295e-06,1.5000000000e+01,1.5000000000e+01,4.5561749830e-13,-4.5102401990e-18,7.0501738260e+00,5.7234312450e-18,0.0000000000e+00,0.0000000000e+00,-3.3532613240e-06,1.0000000000e+00,1.0000000000e+00,3.4059270930e-06,0.0000000000e+00,0.0000000000e+00,-5.2655407450e-08
1.0000000000e-05,1.5000000000e+01,1.5000000000e+01,4.5562807270e-13,-4.6715655620e-18,7.0486042760e+00,5.7274558090e-18,0.0000000000e+00,0.0000000000e+00,-3.3531763590e-06,1.0000000000e+00,1.0000000000e+00,3.4058379420e-06,0.0000000000e+00,0.0000000000e+00,-5.2651225320e-08
1.0483273799e-05,1.5000000000e+01,1.5000000000e+01,4.5563870310e-13,-4.8974260930e-18,7.0464068530e+00,8.0569272840e-18,0.0000000000e+00,0.0000000000e+00,-3.3530573730e-06,1.0000000000e+00,1.0000000000e+00,3.4057130950e-06,0.0000000000e+00,0.0000000000e+00,-5.2645368570e-08
1.1449821396e-05,1.5000000000e+01,1.5000000000e+01,4.5565579860e-13,-5.3491622060e-18,7.0420118430e+00,1.6216934640e-17,0.0000000000e+00,0.0000000000e+00,-3.3528192760e-06,1.0000000000e+00,1.0000000000e+00,3.4054632700e-06,0.0000000000e+00,0.0000000000e+00,-5.2633649000e-08
1.3382916591e-05,1.5000000000e+01,1.5000000000e+01,4.5570268830e-13,-6.2526947270e-18,7.0332210400e+00,3.1410877330e-17,0.0000000000e+00,0.0000000000e+00,-3.3523419910e-06,1.0000000000e+00,1.0000000000e+00,3.4049621530e-06,0.0000000000e+00,0.0000000000e+00,-5.2610147430e-08
1.4382916591e-05,1.5000000000e+01,1.5000000000e+01,4.5577532270e-13,-6.7201489920e-18,7.0286731610e+00,1.4683125130e-17,0.0000000000e+00,0.0000000000e+00,-3.3520957460e-06,1.0000000000e+00,1.0000000000e+00,3.4047040980e-06,0.0000000000e+00,0.0000000000e+00,-5.2598034390e-08
1.4882916591e-05,1.5000000000e+01,1.5000000000e+01,4.5577364780e-13,-6.9538897960e-18,7.0263990160e+00,8.3907977100e-18,0.0000000000e+00,0.0000000000e+00,-3.3519722510e-06,1.0000000000e+00,1.0000000000e+00,3.4045745180e-06,0.0000000000e+00,0.0000000000e+00,-5.2591955440e-08
1.5482916591e-05,1.5000000000e+01,1.5000000000e+01,4.5578942270e-13,-7.2343876470e-18,7.0236699470e+00,1.0089635250e-17,0.0000000000e+00,0.0000000000e+00,-3.3518239980e-06,1.0000000000e+00,1.0000000000e+00,3.4044189640e-06,0.0000000000e+00,0.0000000000e+00,-5.2584658810e-08
1.6322916591e-05,1.5000000000e+01,1.5000000000e+01,4.5580914010e-13,-7.6270999260e-18,7.0198490870e+00,1.4165750730e-17,0.0000000000e+00,0.0000000000e+00,-3.3516163360e-06,1.0000000000e+00,1.0000000000e+00,3.4042010700e-06,0.0000000000e+00,0.0000000000e+00,-5.2574435810e-08
1.7666916591e-05,1.5000000000e+01,1.5000000000e+01,4.5583821500e-13,-8.2554746340e-18,7.0137353330e+00,2.2728040000e-17,0.0000000000e+00,0.0000000000e+00,-3.3512838160e-06,1.0000000000e+00,1.0000000000e+00,3.4038521680e-06,0.0000000000e+00,0.0000000000e+00,-5.2558066060e-08
2.0086116591e-05,1.5000000000e+01,1.5000000000e+01,4.5588713890e-13,-9.3866524330e-18,7.0027294570e+00,4.0993997810e-17,0.0000000000e+00,0.0000000000e+00,-3.3506844780e-06,1.0000000000e+00,1.0000000000e+00,3.4032233020e-06,0.0000000000e+00,0.0000000000e+00,-5.2528560470e-08
2.4110021844e-05,1.5000000000e+01,1.5000000000e+01,4.5597339380e-13,-1.1268468620e-17,6.9844198690e+00,6.8163098400e-17,0.0000000000e+00,0.0000000000e+00,-3.3496852960e-06,1.0000000000e+00,1.0000000000e+00,3.4021748810e-06,0.0000000000e+00,0.0000000000e+00,-5.2479359210e-08
2.7610987111e-05,1.5000000000e+01,1.5000000000e+01,4.5609422850e-13,-1.2906128630e-17,6.9684855280e+00,5.9090270220e-17,0.0000000000e+00,0.0000000000e+00,-3.3488135500e-06,1.0000000000e+00,1.0000000000e+00,3.4012601680e-06,0.0000000000e+00,0.0000000000e+00,-5.2436425100e-08
2.9167345377e-05,1.5000000000e+01,1.5000000000e+01,4.5618879190e-13,-1.3634299040e-17,6.9614003710e+00,2.6196101810e-17,0.0000000000e+00,0.0000000000e+00,-3.3484253180e-06,1.0000000000e+00,1.0000000000e+00,3.4008529120e-06,0.0000000000e+00,0.0000000000e+00,-5.2417302550e-08
