"Cgate Voltage","Cgate Int. Voltage","Cgate Current","Fgate Intg Charge","Fgate Int. Voltage","Fgate Current","Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-7.3080967700e-02,7.8728986030e-22,0.0000000000e+00,0.0000000000e+00,-1.4986341100e-08,1.0000000000e+00,1.0000000000e+00,1.5414333120e-08,0.0000000000e+00,0.0000000000e+00,-4.2773452030e-10
0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,-7.3080967600e-02,7.8728986040e-22,0.0000000000e+00,0.0000000000e+00,-1.4986341120e-08,1.0000000000e+00,1.0000000000e+00,1.5414332880e-08,0.0000000000e+00,0.0000000000e+00,-4.2773433290e-10
5.0000000000e-02,5.0000000000e-02,0.0000000000e+00,0.0000000000e+00,-4.0362743480e-02,7.8524178530e-22,0.0000000000e+00,0.0000000000e+00,-2.2879185130e-08,1.0000000000e+00,1.0000000000e+00,2.3506474120e-08,0.0000000000e+00,0.0000000000e+00,-6.2691973900e-10
1.0000000000e-01,1.0000000000e-01,0.0000000000e+00,0.0000000000e+00,-7.6704448850e-03,7.3700486040e-22,0.0000000000e+00,0.0000000000e+00,-3.3730873680e-08,1.0000000000e+00,1.0000000000e+00,3.4618100920e-08,0.0000000000e+00,0.0000000000e+00,-8.8671636000e-10
1.5000000000e-01,1.5000000000e-01,0.0000000000e+00,0.0000000000e+00,2.4990450260e-02,6.5102287680e-22,0.0000000000e+00,0.0000000000e+00,-4.8111873230e-08,1.0000000000e+00,1.0000000000e+00,4.9325117130e-08,0.0000000000e+00,0.0000000000e+00,-1.2125608300e-09
2.0000000000e-01,2.0000000000e-01,0.0000000000e+00,0.0000000000e+00,5.7614704090e-02,5.4099418190e-22,0.0000000000e+00,0.0000000000e+00,-6.6547104950e-08,1.0000000000e+00,1.0000000000e+00,6.8154920210e-08,0.0000000000e+00,0.0000000000e+00,-1.6069305240e-09
2.5000000000e-01,2.5000000000e-01,0.0000000000e+00,0.0000000000e+00,9.0197536310e-02,4.2237442050e-22,0.0000000000e+00,0.0000000000e+00,-8.9490146220e-08,1.0000000000e+00,1.0000000000e+00,9.1560425890e-08,0.0000000000e+00,0.0000000000e+00,-2.0691665980e-09
3.0000000000e-01,3.0000000000e-01,0.0000000000e+00,0.0000000000e+00,1.2273478580e-01,3.0908160290e-22,0.0000000000e+00,0.0000000000e+00,-1.1730414700e-07,1.0000000000e+00,1.0000000000e+00,1.1990108880e-07,0.0000000000e+00,0.0000000000e+00,-2.5955779830e-09
3.5000000000e-01,3.5000000000e-01,0.0000000000e+00,0.0000000000e+00,1.5522310550e-01,2.1121788900e-22,0.0000000000e+00,0.0000000000e+00,-1.5024191430e-07,1.0000000000e+00,1.0000000000e+00,1.5342314140e-07,0.0000000000e+00,0.0000000000e+00,-3.1795957320e-09
4.0000000000e-01,4.0000000000e-01,0.0000000000e+00,0.0000000000e+00,1.8766068190e-01,1.3412123220e-22,0.0000000000e+00,0.0000000000e+00,-1.8837445570e-07,1.0000000000e+00,1.0000000000e+00,1.9218728850e-07,0.0000000000e+00,0.0000000000e+00,-3.8109239940e-09
4.5000000000e-01,4.5000000000e-01,0.0000000000e+00,0.0000000000e+00,2.2004876830e-01,7.8686229160e-23,0.0000000000e+00,0.0000000000e+00,-2.3143870050e-07,1.0000000000e+00,1.0000000000e+00,2.3591428520e-07,0.0000000000e+00,0.0000000000e+00,-4.4733979160e-09
5.0000000000e-01,5.0000000000e-01,0.0000000000e+00,0.0000000000e+00,2.5239473460e-01,4.2436380970e-23,0.0000000000e+00,0.0000000000e+00,-2.7852744840e-07,1.0000000000e+00,1.0000000000e+00,2.8367042270e-07,0.0000000000e+00,0.0000000000e+00,-5.1405223890e-09
5.5000000000e-01,5.5000000000e-01,0.0000000000e+00,0.0000000000e+00,2.8471435620e-01,2.0989748160e-23,0.0000000000e+00,0.0000000000e+00,-3.2786698240e-07,1.0000000000e+00,1.0000000000e+00,3.3364353710e-07,0.0000000000e+00,0.0000000000e+00,-5.7738686510e-09
6.0000000000e-01,6.0000000000e-01,0.0000000000e+00,0.0000000000e+00,3.1702952810e-01,9.5342359140e-24,0.0000000000e+00,0.0000000000e+00,-3.7707415250e-07,1.0000000000e+00,1.0000000000e+00,3.8340754550e-07,0.0000000000e+00,0.0000000000e+00,-6.3305222930e-09
6.5000000000e-01,6.5000000000e-01,0.0000000000e+00,0.0000000000e+00,3.4935300860e-01,3.9956061000e-24,0.0000000000e+00,0.0000000000e+00,-4.2474371880e-07,1.0000000000e+00,1.0000000000e+00,4.3153784170e-07,0.0000000000e+00,0.0000000000e+00,-6.7911227040e-09
