"Cgate Voltage","Cgate Int. Voltage","Cgate Current","Fgate Intg Charge","Fgate Int. Voltage","Fgate Current","Source Voltage","Source Int. Voltage","Source Current","Drain Voltage","Drain Int. Voltage","Drain Current","Substrate Voltage","Substrate Int. Voltage","Substrate Current"
8.0000000000e-01,8.0000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.7080637970e+00,-8.9397443570e-14,0.0000000000e+00,0.0000000000e+00,3.0149540290e-14,1.0000000000e+00,1.0000000000e+00,6.5719918290e-14,0.0000000000e+00,0.0000000000e+00,-6.4657033770e-15
8.5000000000e-01,8.5000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.6860338850e+00,-8.3166458080e-14,0.0000000000e+00,0.0000000000e+00,2.8044264860e-14,1.0000000000e+00,1.0000000000e+00,6.1141918470e-14,0.0000000000e+00,0.0000000000e+00,-6.0138552690e-15
9.0000000000e-01,9.0000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.6640034550e+00,-7.7338528880e-14,0.0000000000e+00,0.0000000000e+00,2.6075455440e-14,1.0000000000e+00,1.0000000000e+00,5.6859865770e-14,0.0000000000e+00,0.0000000000e+00,-5.5913380760e-15
9.5000000000e-01,9.5000000000e-01,0.0000000000e+00,-4.6003861280e-16,-8.6419725040e+00,-7.1889701830e-14,0.0000000000e+00,0.0000000000e+00,2.4234982500e-14,1.0000000000e+00,1.0000000000e+00,5.2856191410e-14,0.0000000000e+00,0.0000000000e+00,-5.1964042290e-15
1.0000000000e+00,1.0000000000e+00,0.0000000000e+00,-4.6003861280e-16,-8.6199410290e+00,-6.6797313380e-14,0.0000000000e+00,0.0000000000e+00,2.2515153950e-14,1.0000000000e+00,1.0000000000e+00,4.9114264740e-14,0.0000000000e+00,0.0000000000e+00,-4.8274001450e-15
1.0500000000e+00,1.0500000000e+00,0.0000000000e+00,-4.6003861280e-16,-8.5979090250e+00,-6.2039928710e-14,0.0000000000e+00,0.0000000000e+00,2.0908690740e-14,1.0000000000e+00,1.0000000000e+00,4.5618356070e-14,0.0000000000e+00,0.0000000000e+00,-4.4827548470e-15
1.1000000000e+00,1.1000000000e+00,0.0000000000e+00,-4.6003861280e-16,-8.5758764890e+00,-5.7597282400e-14,0.0000000000e+00,0.0000000000e+00,1.9408731050e-14,1.0000000000e+00,1.0000000000e+00,4.2354504310e-14,0.0000000000e+00,0.0000000000e+00,-4.1619025660e-15
1.1500000000e+00,1.1500000000e+00,0.0000000000e+00,-4.6003861280e-16,-8.5538434180e+00,-5.3450221640e-14,0.0000000000e+00,0.0000000000e+00,1.8008769910e-14,1.0000000000e+00,1.0000000000e+00,3.9306745260e-14,0.0000000000e+00,0.0000000000e+00,-3.8615388340e-15
1.2000000000e+00,1.2000000000e+00,0.0000000000e+00,-4.6003861280e-16,-8.5318098060e+00,-4.9580651800e-14,0.0000000000e+00,0.0000000000e+00,1.6702676690e-14,1.0000000000e+00,1.0000000000e+00,3.6462847230e-14,0.0000000000e+00,0.0000000000e+00,-3.5821416620e-15
1.2500000000e+00,1.2500000000e+00,0.0000000000e+00,-4.6003861280e-16,-8.5097756500e+00,-4.5971484260e-14,0.0000000000e+00,0.0000000000e+00,1.5484650870e-14,1.0000000000e+00,1.0000000000e+00,3.3810246610e-14,0.0000000000e+00,0.0000000000e+00,-3.3201916100e-15
1.3000000000e+00,1.3000000000e+00,0.0000000000e+00,-4.6003861280e-16,-8.4877409450e+00,-4.2606586600e-14,0.0000000000e+00,0.0000000000e+00,1.4349219720e-14,1.0000000000e+00,1.0000000000e+00,3.1337130950e-14,0.0000000000e+00,0.0000000000e+00,-3.0767759200e-15
1.3500000000e+00,1.3500000000e+00,0.0000000000e+00,-4.6003861280e-16,-8.4657056880e+00,-3.9470734760e-14,0.0000000000e+00,0.0000000000e+00,1.3291241530e-14,1.0000000000e+00,1.0000000000e+00,2.9032225230e-14,0.0000000000e+00,0.0000000000e+00,-2.8499714230e-15
1.4000000000e+00,1.4000000000e+00,0.0000000000e+00,-4.6003861280e-16,-8.4436698740e+00,-3.6549567450e-14,0.0000000000e+00,0.0000000000e+00,1.2305837630e-14,1.0000000000e+00,1.0000000000e+00,2.6885030950e-14,0.0000000000e+00,0.0000000000e+00,-2.6387455070e-15
1.4500000000e+00,1.4500000000e+00,0.0000000000e+00,-4.6003861280e-16,-8.4216334990e+00,-3.3829542410e-14,0.0000000000e+00,0.0000000000e+00,1.1388415280e-14,1.0000000000e+00,1.0000000000e+00,2.4885621350e-14,0.0000000000e+00,0.0000000000e+00,-2.4421315300e-15
1.5000000000e+00,1.5000000000e+00,0.0000000000e+00,-4.6003861280e-16,-8.3995965570e+00,-3.1297894690e-14,0.0000000000e+00,0.0000000000e+00,1.0534652840e-14,1.0000000000e+00,1.0000000000e+00,2.3024608270e-14,0.0000000000e+00,0.0000000000e+00,-2.2591844860e-15
