Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge,,Transient time,Fgate Intg Charge
3.75E-07,-2.33E-20,,4.81E-07,-9.96E-20,,6.25E-07,-1.86E-19,,6.71E-10,-2.01E-22,,1.18E-08,-8.53E-21
7.41E-07,-4.61E-20,,6.05E-07,-1.25E-19,,1.00E-06,-2.98E-19,,9.75E-10,-2.92E-22,,1.55E-08,-1.12E-20
1.00E-06,-6.22E-20,,8.53E-07,-1.76E-19,,1.75E-06,-5.21E-19,,1.52E-09,-4.55E-22,,2.27E-08,-1.64E-20
1.52E-06,-9.43E-20,,1.00E-06,-2.07E-19,,2.26E-06,-6.74E-19,,2.62E-09,-7.82E-22,,3.73E-08,-2.69E-20
2.55E-06,-1.59E-19,,1.29E-06,-2.68E-19,,2.57E-06,-7.64E-19,,4.81E-09,-1.44E-21,,6.64E-08,-4.78E-20
4.62E-06,-2.87E-19,,1.88E-06,-3.89E-19,,2.97E-06,-8.83E-19,,9.19E-09,-2.74E-21,,1.00E-07,-7.20E-20
6.69E-06,-4.15E-19,,3.06E-06,-6.31E-19,,3.72E-06,-1.11E-18,,1.00E-08,-2.99E-21,,1.67E-07,-1.20E-19
9.17E-06,-5.68E-19,,4.71E-06,-9.72E-19,,4.23E-06,-1.26E-18,,1.16E-08,-3.47E-21,,3.01E-07,-2.17E-19
1.00E-05,-6.19E-19,,5.77E-06,-1.19E-18,,4.53E-06,-1.35E-18,,1.49E-08,-4.44E-21,,5.14E-07,-3.69E-19
1.13E-05,-7.01E-19,,6.44E-06,-1.33E-18,,4.94E-06,-1.47E-18,,2.14E-08,-6.39E-21,,6.48E-07,-4.64E-19
1.27E-05,-7.82E-19,,7.40E-06,-1.53E-18,,5.70E-06,-1.70E-18,,3.44E-08,-1.03E-20,,7.27E-07,-5.21E-19
1.43E-05,-8.80E-19,,8.27E-06,-1.70E-18,,6.21E-06,-1.85E-18,,6.05E-08,-1.81E-20,,8.44E-07,-6.04E-19
1.65E-05,-1.02E-18,,9.23E-06,-1.90E-18,,6.51E-06,-1.94E-18,,1.00E-07,-2.99E-20,,1.00E-06,-7.15E-19
2.01E-05,-1.23E-18,,1.00E-05,-2.06E-18,,6.92E-06,-2.06E-18,,1.79E-07,-5.35E-20,,1.17E-06,-8.35E-19
2.41E-05,-1.48E-18,,1.11E-05,-2.27E-18,,7.69E-06,-2.28E-18,,2.78E-07,-8.29E-20,,1.31E-06,-9.34E-19
2.51E-05,-1.54E-18,,1.27E-05,-2.61E-18,,8.20E-06,-2.44E-18,,4.75E-07,-1.42E-19,,1.43E-06,-1.02E-18
2.61E-05,-1.60E-18,,1.39E-05,-2.84E-18,,8.50E-06,-2.53E-18,,8.69E-07,-2.59E-19,,1.58E-06,-1.13E-18
2.71E-05,-1.66E-18,,1.49E-05,-3.04E-18,,8.91E-06,-2.65E-18,,1.00E-06,-2.98E-19,,1.79E-06,-1.27E-18
2.81E-05,-1.72E-18,,1.59E-05,-3.25E-18,,9.29E-06,-2.76E-18,,1.19E-06,-3.54E-19,,1.92E-06,-1.37E-18
3.01E-05,-1.84E-18,,1.71E-05,-3.49E-18,,9.72E-06,-2.89E-18,,1.56E-06,-4.64E-19,,2.02E-06,-1.44E-18
