Frequency,Cgate Voltage,Cgate Current,Fgate Voltage,Fgate Current,Source Voltage,Source Current,Drain Voltage,Drain Current,Substrate Voltage,Substrate Current,G Cgate>Cgate,C Cgate>Cgate,G Fgate>Cgate,C Fgate>Cgate,G Source>Cgate,C Source>Cgate,G Drain>Cgate,C Drain>Cgate,G Substrate>Cgate,C Substrate>Cgate,G Cgate>Fgate,C Cgate>Fgate,G Fgate>Fgate,C Fgate>Fgate,G Source>Fgate,C Source>Fgate,G Drain>Fgate,C Drain>Fgate,G Substrate>Fgate,C Substrate>Fgate,G Cgate>Source,C Cgate>Source,G Fgate>Source,C Fgate>Source,G Source>Source,C Source>Source,G Drain>Source,C Drain>Source,G Substrate>Source,C Substrate>Source,G Cgate>Drain,C Cgate>Drain,G Fgate>Drain,C Fgate>Drain,G Source>Drain,C Source>Drain,G Drain>Drain,C Drain>Drain,G Substrate>Drain,C Substrate>Drain,G Cgate>Substrate,C Cgate>Substrate,G Fgate>Substrate,C Fgate>Substrate,G Source>Substrate,C Source>Substrate,G Drain>Substrate,C Drain>Substrate,G Substrate>Substrate,C Substrate>Substrate,GCR
1.00E+06,2.00E+00,0.00E+00,0.00E+00,5.61E-41,0.00E+00,-1.58E-20,1.00E+00,-1.36E-21,0.00E+00,-1.26E-21,-2.18E-19,-2.58E-17,-5.04E-18,2.47E-17,-6.64E-18,4.27E-19,-6.94E-18,4.27E-19,1.89E-17,2.51E-19,-5.04E-18,2.47E-17,-1.18E-16,-3.79E-17,-1.50E-16,3.83E-18,-1.57E-16,3.72E-18,4.30E-16,5.73E-18,-6.62E-18,4.27E-19,-1.50E-16,3.83E-18,-5.03E-08,-1.39E-17,5.03E-08,3.42E-19,7.58E-16,9.29E-18,-6.93E-18,4.27E-19,-1.58E-16,3.72E-18,5.03E-08,3.42E-19,-5.03E-08,-1.38E-17,7.56E-16,9.33E-18,1.88E-17,2.51E-19,4.30E-16,5.73E-18,2.23E-16,9.29E-18,5.29E-16,9.33E-18,-4.03E-14,-2.46E-17,6.50E-01
1.00E+06,3.00E+00,0.00E+00,0.00E+00,5.46E-36,0.00E+00,2.06E-19,1.00E+00,-3.01E-19,0.00E+00,-1.23E-21,-2.45E-19,-2.58E-17,-5.49E-18,2.47E-17,-4.58E-18,4.38E-19,-6.02E-18,4.32E-19,1.80E-17,2.44E-19,-5.49E-18,2.47E-17,-1.25E-16,-3.81E-17,-1.20E-16,4.02E-18,-1.67E-16,3.82E-18,4.17E-16,5.63E-18,-5.85E-18,4.38E-19,-1.38E-16,4.02E-18,-9.21E-08,-1.41E-17,9.21E-08,2.77E-19,7.69E-16,9.37E-18,-6.44E-18,4.32E-19,-1.49E-16,3.82E-18,9.21E-08,2.77E-19,-9.21E-08,-1.39E-17,7.66E-16,9.36E-18,1.80E-17,2.44E-19,4.17E-16,5.63E-18,7.67E-16,9.37E-18,7.58E-16,9.36E-18,-1.46E-15,-2.46E-17,6.47E-01
1.00E+06,4.00E+00,0.00E+00,0.00E+00,2.60E-31,0.00E+00,2.00E-17,1.00E+00,-3.56E-17,0.00E+00,-1.23E-21,-3.49E-19,-2.58E-17,-7.01E-18,2.46E-17,-4.54E-17,4.64E-19,3.66E-17,4.45E-19,1.60E-17,2.31E-19,-7.01E-18,2.46E-17,-1.47E-16,-3.85E-17,4.45E-15,4.42E-18,-4.69E-15,4.03E-18,3.87E-16,5.43E-18,-3.61E-18,4.64E-19,-1.05E-16,4.42E-18,-1.52E-07,-1.46E-17,1.52E-07,1.58E-19,8.00E-16,9.56E-18,-5.06E-18,4.45E-19,-1.28E-16,4.03E-18,1.52E-07,1.58E-19,-1.52E-07,-1.41E-17,7.81E-16,9.44E-18,1.60E-17,2.31E-19,3.87E-16,5.43E-18,1.18E-15,9.56E-18,4.19E-16,9.44E-18,-1.84E-15,-2.47E-17,6.39E-01
1.00E+06,5.00E+00,0.00E+00,0.00E+00,2.40E-34,0.00E+00,8.26E-21,1.00E+00,-1.54E-21,0.00E+00,-1.35E-21,-6.57E-19,-2.58E-17,-1.12E-17,2.46E-17,1.81E-18,5.14E-19,-1.42E-18,4.73E-19,1.15E-17,2.04E-19,-1.12E-17,2.46E-17,-2.04E-16,-3.92E-17,-6.28E-18,5.12E-18,-3.64E-17,4.46E-18,3.33E-16,5.06E-18,1.74E-18,5.14E-19,-3.32E-17,5.12E-18,-2.29E-07,-1.55E-17,2.29E-07,-3.34E-20,8.67E-16,9.91E-18,-1.42E-18,4.73E-19,-7.67E-17,4.46E-18,2.29E-07,-3.34E-20,-2.29E-07,-1.45E-17,8.24E-16,9.64E-18,1.15E-17,2.04E-19,3.25E-16,5.06E-18,8.64E-16,9.91E-18,8.34E-16,9.64E-18,-2.21E-15,-2.48E-17,6.27E-01
1.00E+06,6.00E+00,0.00E+00,0.00E+00,5.52E-32,0.00E+00,-4.90E-20,1.00E+00,-9.07E-21,0.00E+00,-1.21E-21,-1.23E-18,-2.58E-17,-1.87E-17,2.45E-17,1.01E-17,5.78E-19,5.76E-18,5.20E-19,4.33E-18,1.66E-19,-1.87E-17,2.45E-17,-3.01E-16,-4.02E-17,7.09E-17,6.01E-18,1.78E-17,5.13E-18,2.29E-16,4.55E-18,9.84E-18,5.78E-19,7.14E-17,6.01E-18,-3.16E-07,-1.67E-17,3.16E-07,-2.70E-19,9.59E-16,1.04E-17,5.80E-18,5.20E-19,1.94E-17,5.13E-18,3.16E-07,-2.70E-19,-3.16E-07,-1.54E-17,1.82E-16,9.98E-18,4.24E-18,1.66E-19,2.29E-16,4.55E-18,9.67E-16,1.04E-17,9.18E-16,9.98E-18,-2.52E-15,-2.51E-17,6.10E-01
1.00E+06,7.00E+00,0.00E+00,0.00E+00,1.06E-29,0.00E+00,5.12E-18,1.00E+00,-5.43E-18,0.00E+00,-1.24E-21,-1.88E-18,-2.58E-17,-2.69E-17,2.44E-17,1.90E-17,6.35E-19,1.37E-17,5.74E-19,-3.44E-18,1.28E-19,-2.69E-17,2.44E-17,-4.06E-16,-4.12E-17,1.83E-16,6.81E-18,1.25E-16,5.87E-18,1.30E-16,4.05E-18,1.73E-17,6.35E-19,1.67E-16,6.81E-18,-4.03E-07,-1.77E-17,4.03E-07,-4.82E-19,8.37E-14,1.08E-17,1.48E-17,5.74E-19,1.36E-16,5.87E-18,4.03E-07,-4.82E-19,-4.03E-07,-1.63E-17,9.97E-16,1.04E-17,-3.44E-18,1.28E-19,1.30E-16,4.05E-18,1.02E-15,1.08E-17,1.03E-15,1.04E-17,-2.08E-15,-2.53E-17,5.93E-01
1.00E+06,8.00E+00,0.00E+00,0.00E+00,3.25E-28,0.00E+00,2.82E-18,1.00E+00,-3.10E-18,0.00E+00,-1.31E-21,-2.40E-18,-2.58E-17,-3.34E-17,2.44E-17,2.22E-17,6.77E-19,2.26E-17,6.16E-19,-9.55E-18,9.94E-20,-3.34E-17,2.44E-17,-4.90E-16,-4.20E-17,2.23E-16,7.43E-18,2.38E-16,6.49E-18,4.99E-17,3.66E-18,2.27E-17,6.77E-19,2.35E-16,7.43E-18,-4.80E-07,-1.85E-17,4.80E-07,-6.52E-19,1.11E-15,1.11E-17,2.27E-17,6.16E-19,2.38E-16,6.49E-18,4.80E-07,-6.52E-19,-4.80E-07,-1.71E-17,1.03E-15,1.07E-17,-9.55E-18,9.94E-20,5.00E-17,3.66E-18,1.06E-15,1.11E-17,1.07E-15,1.07E-17,-2.23E-15,-2.55E-17,5.81E-01
1.00E+06,9.00E+00,0.00E+00,0.00E+00,1.84E-29,0.00E+00,-1.85E-18,1.00E+00,2.26E-18,0.00E+00,-1.38E-21,-2.76E-18,-2.58E-17,-3.82E-17,2.44E-17,2.60E-17,7.07E-19,2.90E-17,6.45E-19,-1.39E-17,7.90E-20,-3.82E-17,2.44E-17,-5.52E-16,-4.26E-17,-1.52E-15,7.91E-18,2.50E-16,6.94E-18,3.49E-17,3.38E-18,2.65E-17,7.07E-19,2.85E-16,7.91E-18,-5.47E-07,-1.91E-17,5.47E-07,-7.93E-19,1.15E-15,1.13E-17,2.84E-17,6.45E-19,3.13E-16,6.94E-18,5.47E-07,-7.93E-19,-5.47E-07,-1.77E-17,1.13E-15,1.09E-17,-1.39E-17,7.90E-20,-8.70E-18,3.38E-18,1.18E-15,1.13E-17,1.09E-15,1.09E-17,-2.29E-15,-2.56E-17,5.72E-01
1.00E+06,1.00E+01,0.00E+00,0.00E+00,7.09E-30,0.00E+00,-1.17E-19,1.00E+00,1.58E-19,0.00E+00,-1.63E-21,-3.01E-18,-2.58E-17,-4.15E-17,2.43E-17,2.83E-17,7.30E-19,3.23E-17,6.63E-19,-1.70E-17,6.48E-20,-4.15E-17,2.43E-17,-5.97E-16,-4.31E-17,2.30E-16,8.29E-18,3.68E-16,7.26E-18,-5.14E-17,3.17E-18,2.92E-17,7.30E-19,3.23E-16,8.29E-18,-6.05E-07,-1.96E-17,6.05E-07,-9.14E-19,1.19E-15,1.15E-17,3.24E-17,6.63E-19,3.67E-16,7.26E-18,6.05E-07,-9.14E-19,-6.05E-07,-1.80E-17,1.18E-15,1.10E-17,-1.70E-17,6.48E-20,-5.20E-17,3.17E-18,1.24E-15,1.15E-17,1.17E-15,1.10E-17,-2.45E-15,-2.57E-17,5.65E-01
1.00E+06,1.10E+01,0.00E+00,0.00E+00,6.56E-29,0.00E+00,7.22E-21,1.00E+00,3.37E-21,0.00E+00,-1.26E-21,-3.18E-18,-2.58E-17,-4.39E-17,2.43E-17,3.13E-17,7.47E-19,3.51E-17,6.76E-19,-1.92E-17,5.46E-20,-4.39E-17,2.43E-17,-6.30E-16,-4.34E-17,3.75E-16,8.60E-18,4.28E-16,7.49E-18,-8.45E-17,3.01E-18,3.12E-17,7.47E-19,3.53E-16,8.60E-18,-6.57E-07,-2.00E-17,6.57E-07,-1.02E-18,1.22E-15,1.16E-17,3.51E-17,6.76E-19,4.06E-16,7.49E-18,6.57E-07,-1.02E-18,-6.57E-07,-1.83E-17,1.21E-15,1.11E-17,-1.92E-17,5.46E-20,-8.45E-17,3.01E-18,1.30E-15,1.16E-17,1.19E-15,1.11E-17,-2.33E-15,-2.58E-17,5.60E-01
1.00E+06,1.20E+01,0.00E+00,0.00E+00,3.66E-28,0.00E+00,-3.64E-21,1.00E+00,4.98E-22,0.00E+00,-1.20E-21,-3.29E-18,-2.58E-17,-4.55E-17,2.43E-17,3.30E-17,7.61E-19,3.71E-17,6.84E-19,-2.09E-17,4.69E-20,-4.55E-17,2.43E-17,-6.55E-16,-4.37E-17,3.61E-16,8.86E-18,4.34E-16,7.68E-18,-1.10E-16,2.88E-18,3.28E-17,7.61E-19,3.76E-16,8.86E-18,-7.05E-07,-2.03E-17,7.05E-07,-1.11E-18,1.24E-15,1.17E-17,3.69E-17,6.84E-19,4.34E-16,7.68E-18,7.05E-07,-1.11E-18,-7.05E-07,-1.85E-17,1.23E-15,1.12E-17,-2.09E-17,4.69E-20,-1.10E-16,2.88E-18,1.20E-15,1.17E-17,1.32E-15,1.12E-17,-2.79E-15,-2.59E-17,5.56E-01
1.00E+06,1.30E+01,0.00E+00,0.00E+00,1.51E-27,0.00E+00,-5.54E-21,1.00E+00,1.67E-22,0.00E+00,-1.23E-21,-3.36E-18,-2.58E-17,-4.67E-17,2.43E-17,3.40E-17,7.71E-19,3.80E-17,6.90E-19,-2.21E-17,4.11E-20,-4.67E-17,2.43E-17,-6.74E-16,-4.40E-17,3.98E-16,9.08E-18,4.53E-16,7.83E-18,-1.30E-16,2.78E-18,3.40E-17,7.71E-19,3.96E-16,9.08E-18,-7.48E-07,-2.05E-17,7.48E-07,-1.19E-18,1.02E-15,1.18E-17,3.82E-17,6.90E-19,4.54E-16,7.83E-18,7.48E-07,-1.19E-18,-7.48E-07,-1.86E-17,1.24E-15,1.13E-17,-2.21E-17,4.11E-20,-1.30E-16,2.78E-18,1.24E-15,1.18E-17,1.25E-15,1.13E-17,-2.45E-15,-2.59E-17,5.52E-01
1.00E+06,1.40E+01,0.00E+00,0.00E+00,3.63E-27,0.00E+00,4.99E-21,1.00E+00,-1.03E-21,0.00E+00,-1.23E-21,-3.41E-18,-2.58E-17,-4.76E-17,2.43E-17,3.49E-17,7.80E-19,3.92E-17,6.95E-19,-2.30E-17,3.64E-20,-4.76E-17,2.43E-17,-6.89E-16,-4.42E-17,4.20E-16,9.28E-18,4.72E-16,7.96E-18,-1.46E-16,2.69E-18,3.50E-17,7.80E-19,4.13E-16,9.28E-18,-7.88E-07,-2.07E-17,7.88E-07,-1.26E-18,1.27E-15,1.19E-17,3.91E-17,6.95E-19,4.70E-16,7.96E-18,7.88E-07,-1.26E-18,-7.88E-07,-1.87E-17,1.26E-15,1.13E-17,-2.30E-17,3.64E-20,-1.46E-16,2.69E-18,1.23E-15,1.19E-17,1.40E-15,1.13E-17,-2.62E-15,-2.60E-17,5.49E-01
1.00E+06,1.50E+01,0.00E+00,0.00E+00,1.68E-22,0.00E+00,6.89E-17,1.00E+00,-1.09E-16,0.00E+00,-1.31E-21,-3.45E-18,-2.58E-17,-4.83E-17,2.43E-17,4.96E-17,7.88E-19,2.57E-17,6.98E-19,-2.37E-17,3.26E-20,-4.83E-17,2.43E-17,-7.02E-16,-4.44E-17,-7.20E-16,9.45E-18,1.66E-15,8.07E-18,-3.71E-16,2.62E-18,3.58E-17,7.88E-19,4.28E-16,9.45E-18,-8.26E-07,-2.09E-17,8.26E-07,-1.33E-18,1.29E-15,1.20E-17,3.97E-17,6.98E-19,4.82E-16,8.07E-18,8.26E-07,-1.33E-18,-8.26E-07,-1.88E-17,1.30E-15,1.13E-17,-2.37E-17,3.26E-20,-1.60E-16,2.62E-18,1.10E-15,1.20E-17,1.35E-15,1.13E-17,-2.77E-15,-2.60E-17,5.47E-01
1.00E+06,1.60E+01,0.00E+00,0.00E+00,3.23E-23,0.00E+00,1.37E-16,1.00E+00,4.72E-17,0.00E+00,-2.08E-17,-3.47E-18,-2.58E-17,-4.89E-17,2.43E-17,4.32E-17,7.94E-19,3.33E-17,7.01E-19,-2.44E-17,2.95E-20,-4.89E-17,2.43E-17,-7.13E-16,-4.46E-17,4.22E-15,9.60E-18,1.51E-15,8.17E-18,-1.70E-16,2.55E-18,3.66E-17,7.94E-19,4.43E-16,9.60E-18,-8.61E-07,-2.11E-17,8.61E-07,-1.39E-18,1.30E-15,1.21E-17,4.01E-17,7.01E-19,4.92E-16,8.17E-18,8.61E-07,-1.39E-18,-8.61E-07,-1.89E-17,1.28E-15,1.14E-17,-2.44E-17,2.95E-20,-1.72E-16,2.55E-18,1.21E-15,1.21E-17,1.31E-15,1.14E-17,-2.36E-15,-2.60E-17,5.45E-01
1.00E+06,1.70E+01,0.00E+00,0.00E+00,2.41E-23,0.00E+00,2.83E-17,1.00E+00,-3.62E-17,0.00E+00,2.87E-21,-3.49E-18,-2.58E-17,-4.94E-17,2.43E-17,4.07E-17,7.99E-19,3.68E-17,7.03E-19,-2.49E-17,2.69E-20,-4.94E-17,2.43E-17,-7.23E-16,-4.47E-17,1.00E-16,9.73E-18,8.80E-16,8.26E-18,-1.82E-16,2.49E-18,3.73E-17,7.99E-19,4.56E-16,9.73E-18,-8.94E-07,-2.12E-17,8.94E-07,-1.45E-18,1.28E-15,1.21E-17,4.06E-17,7.03E-19,5.04E-16,8.25E-18,8.94E-07,-1.65E-18,-8.94E-07,-1.89E-17,5.56E-13,1.09E-17,-2.49E-17,2.69E-20,-1.83E-16,2.49E-18,1.21E-15,1.21E-17,1.32E-15,1.14E-17,-2.29E-15,-2.61E-17,5.43E-01
1.00E+06,1.80E+01,0.00E+00,0.00E+00,2.23E-24,0.00E+00,1.63E-17,1.00E+00,-2.09E-17,0.00E+00,-1.43E-21,-3.51E-18,-2.58E-17,-4.99E-17,2.43E-17,4.00E-17,8.03E-19,3.88E-17,7.05E-19,-2.53E-17,2.47E-20,-4.99E-17,2.43E-17,-7.32E-16,-4.49E-17,2.45E-16,9.85E-18,7.17E-16,8.34E-18,-1.93E-16,2.44E-18,3.80E-17,8.03E-19,4.69E-16,9.85E-18,-9.25E-07,-2.13E-17,9.25E-07,-1.51E-18,1.37E-15,1.22E-17,4.07E-17,7.05E-19,5.06E-16,8.34E-18,9.25E-07,-1.51E-18,-9.25E-07,-1.90E-17,1.29E-15,1.14E-17,-2.53E-17,2.47E-20,-1.93E-16,2.44E-18,1.36E-15,1.22E-17,1.31E-15,1.14E-17,-2.10E-15,-2.61E-17,5.41E-01
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
