Cgate Voltage,Cgate Int. Voltage,Cgate Current,Fgate Intg Charge,Fgate Int. Voltage,Fgate Current,Source Voltage,Source Int. Voltage,Source Current,Drain Voltage,Drain Int. Voltage,Drain Current,Substrate Voltage,Substrate Int. Voltage,Substrate Current,,,Id_1V,Vcg_0-6V
1.15E+00,1.15E+00,0.00E+00,0.00E+00,6.72E-01,4.49E-22,0.00E+00,0.00E+00,-4.79E-07,1.00E+00,1.00E+00,4.93E-07,0.00E+00,0.00E+00,-4.42E-09,,,4.92E-07,1.20E+00
1.18E+00,1.18E+00,0.00E+00,0.00E+00,6.88E-01,7.88E-22,0.00E+00,0.00E+00,-4.91E-07,1.00E+00,1.00E+00,5.05E-07,0.00E+00,0.00E+00,-4.40E-09,,,5.16E-07,1.25E+00
1.20E+00,1.20E+00,0.00E+00,0.00E+00,7.04E-01,1.36E-21,0.00E+00,0.00E+00,-5.03E-07,1.00E+00,1.00E+00,5.17E-07,0.00E+00,0.00E+00,-4.37E-09,,,5.39E-07,1.30E+00
1.25E+00,1.25E+00,0.00E+00,0.00E+00,7.36E-01,3.79E-21,0.00E+00,0.00E+00,-5.27E-07,1.00E+00,1.00E+00,5.41E-07,0.00E+00,0.00E+00,-4.31E-09,,,5.62E-07,1.35E+00
1.30E+00,1.30E+00,0.00E+00,0.00E+00,7.68E-01,9.88E-21,0.00E+00,0.00E+00,-5.51E-07,1.00E+00,1.00E+00,5.65E-07,0.00E+00,0.00E+00,-4.24E-09,,,5.85E-07,1.40E+00
1.35E+00,1.35E+00,0.00E+00,0.00E+00,8.00E-01,2.41E-20,0.00E+00,0.00E+00,-5.75E-07,1.00E+00,1.00E+00,5.89E-07,0.00E+00,0.00E+00,-4.16E-09,,,6.07E-07,1.45E+00
1.40E+00,1.40E+00,0.00E+00,0.00E+00,8.31E-01,5.51E-20,0.00E+00,0.00E+00,-5.98E-07,1.00E+00,1.00E+00,6.12E-07,0.00E+00,0.00E+00,-4.07E-09,,,6.29E-07,1.50E+00
1.45E+00,1.45E+00,0.00E+00,0.00E+00,8.63E-01,1.19E-19,0.00E+00,0.00E+00,-6.22E-07,1.00E+00,1.00E+00,6.36E-07,0.00E+00,0.00E+00,-3.99E-09,,,6.50E-07,1.55E+00
1.50E+00,1.50E+00,0.00E+00,0.00E+00,8.94E-01,2.45E-19,0.00E+00,0.00E+00,-6.45E-07,1.00E+00,1.00E+00,6.59E-07,0.00E+00,0.00E+00,-3.90E-09,,,6.71E-07,1.60E+00
1.55E+00,1.55E+00,0.00E+00,0.00E+00,9.25E-01,4.77E-19,0.00E+00,0.00E+00,-6.68E-07,1.00E+00,1.00E+00,6.81E-07,0.00E+00,0.00E+00,-3.82E-09,,,6.92E-07,1.65E+00
