,Transient time,Cgate Voltage,Cgate Int.Voltage,Cgate Current,Fgate Intg Charge,Fgate Int.Voltage,Fgate Current,Source Voltage,Source Intg.Voltage,Source Current,Drain Voltage,Drain Intg Voltage,Drain Current,Substrate Voltage,Substrate Intg Voltage,Substrate Curerent
0,5.96046447753906e-14,-15.0,-15.0,5.369501256e-05,-6.736662581999999e-16,-13.46829759,1.242764948e-06,1.0,1.0,-0.000130385373,1.0,0.380800968,-1.062841476e-15,0.0,0.0,2.978444287e-05
1,8.94069671630859e-14,-15.0,-15.0,-6.331275215e-05,-6.724404100999999e-16,-13.44645885,9.167087011e-08,1.0,1.0,2.582440849e-05,1.0,0.3811178265,-1.161091755e-15,0.0,0.0,-1.22274718e-05
2,1.2516975402832e-13,-15.0,-15.0,-5.794537285e-05,-6.709718217e-16,-13.42786083,1.037303414e-07,1.0,1.0,1.976668706e-05,1.0,0.3694844602,-1.234125031e-15,0.0,0.0,-1.153188964e-05
3,1.50203704833984e-13,-15.0,-15.0,-5.641435966e-05,-6.699490766e-16,-13.41654591,7.056426859e-08,1.0,1.0,1.833892481e-05,1.0,0.3577164857,-1.271979685e-15,0.0,0.0,-1.134920548e-05
4,1.80244445800781e-13,-15.0,-15.0,-5.54406881e-05,-6.687274492999999e-16,-13.40360319,8.5210067e-08,1.0,1.0,1.747766198e-05,1.0,0.3425267053,-1.307624664e-15,0.0,0.0,-1.12594814e-05
5,2.22301483154297e-13,-15.0,-15.0,-5.468959355e-05,-6.670273874999999e-16,-13.38600835,1.194775834e-07,1.0,1.0,1.692804316e-05,1.0,0.3210392122,-1.346353338e-15,0.0,0.0,-1.122342228e-05
6,2.89592742919922e-13,-15.0,-15.0,-5.402039535e-05,-6.643311527e-16,-13.35832214,1.90057641e-07,1.0,1.0,1.658956141e-05,1.0,0.2879816712,-1.395605428e-15,0.0,0.0,-1.123836169e-05
7,3.50154876708984e-13,-15.0,-15.0,-5.353438928e-05,-6.6193473619999995e-16,-13.33373626,1.655022224e-07,1.0,1.0,1.676144794e-05,1.0,0.2600340908,-1.437250035e-15,0.0,0.0,-1.125774424e-05
8,4.22829437255859e-13,-15.0,-15.0,-5.304587942e-05,-6.590926514e-16,-13.30425745,1.951232311e-07,1.0,1.0,1.683498327e-05,1.0,0.2288515861,-1.485593579e-15,0.0,0.0,-1.130647087e-05
9,5.24573822021484e-13,-15.0,-15.0,-5.243466767e-05,-6.551702064999999e-16,-13.26301228,2.671821072e-07,1.0,1.0,1.686307e-05,1.0,0.189059649,-1.5447146380000001e-15,0.0,0.0,-1.138656295e-05
10,6.87364837646484e-13,-15.0,-15.0,-5.147813454e-05,-6.490193698e-16,-13.19725104,4.146185784e-07,1.0,1.0,1.674796191e-05,1.0,0.1332647836,-1.627248982e-15,0.0,0.0,-1.152489026e-05
11,9.80388665771484e-13,-15.0,-15.0,-4.978671964e-05,-6.382974655999999e-16,-13.0807058,7.080489272e-07,1.0,1.0,1.630926089e-05,1.0,0.05244039588,-1.732103646e-15,0.0,0.0,-1.177995112e-05
12,1.56643632202148e-12,-15.0,-15.0,-4.661346844e-05,-6.180406533999999e-16,-12.85841428,1.276634561e-06,1.0,1.0,1.52258659e-05,1.0,-0.05204313407,-1.783127217e-15,0.0,0.0,-1.228406522e-05
13,2.73853163452148e-12,-15.0,-15.0,-4.094137234e-05,-5.816836606999999e-16,-12.46352842,2.063738025e-06,1.0,1.0,1.344506294e-05,1.0,-0.1042956382,-1.453177349e-15,0.0,0.0,-1.312969514e-05
14,4.73544083891366e-12,-15.0,-15.0,-3.266634825e-05,-5.30711749e-16,-11.9316755,2.390347991e-06,1.0,1.0,1.163801189e-05,1.0,-0.04628445754,-7.879991090999999e-16,0.0,0.0,-1.361173313e-05
15,7.38754062167373e-12,-15.0,-15.0,-2.373033947e-05,-4.797993451e-16,-11.44183079,1.898967204e-06,1.0,1.0,1.015005011e-05,1.0,-0.045640993,-3.6794971309999996e-16,0.0,0.0,-1.277391927e-05
16,1.0696843993582699e-11,-15.0,-15.0,-1.660929722e-05,-4.3381737849999997e-16,-11.04342851,1.334689156e-06,1.0,1.0,8.169028302e-06,1.0,-0.1211555018,-1.603023341e-16,0.0,0.0,-1.067904424e-05
17,1.4573944533669098e-11,-15.0,-15.0,-1.163999265e-05,-3.9528061759999998e-16,-10.74158821,8.685193358e-07,1.0,1.0,6.133173936e-06,1.0,-0.2374759247,-6.937321363e-17,0.0,0.0,-8.079453372e-06
18,1.67254695960814e-11,-15.0,-15.0,-8.613785848e-06,-3.793197711e-16,-10.63051681,3.329443892e-07,1.0,1.0,5.694613047e-06,1.0,-0.3081345536,-4.5992158619999996e-17,0.0,0.0,-6.626208648e-06
19,1.91406063286203e-11,-15.0,-15.0,-7.486503153e-06,-3.638854413e-16,-10.51933018,2.860751427e-07,1.0,1.0,4.763579332e-06,1.0,-0.3700468607,-3.098197632e-17,0.0,0.0,-5.494012394e-06
20,2.0722314217867998e-11,-15.0,-15.0,-6.572108251e-06,-3.5506115139999996e-16,-10.45595666,1.542780315e-07,1.0,1.0,4.414861986e-06,1.0,-0.4053529075,-2.549957342e-17,0.0,0.0,-4.842893843e-06
